user_id,reference_domain,squatting_technique,created_domain,elapsed_time,squatting_technique1,squatting_technique2,squatting_technique3,squatting_technique4,squatting_technique5
ef03e9ec-33a3-4733-b714-fee31a93756b,netflix.com,homograph,netflĭx.com,33504,subdomain,combosquatting,wrong_tld,typosquatting,homograph
ef03e9ec-33a3-4733-b714-fee31a93756b,paypal.com,typosquatting,payapl.com,9384,combosquatting,typosquatting,subdomain,wrong_tld,homograph
ef03e9ec-33a3-4733-b714-fee31a93756b,orange.com,wrong_tld,orange.de,9543,wrong_tld,homograph,typosquatting,subdomain,combosquatting
bf3eebee-327b-4136-b3fb-0729a71e93aa,orange.com,typosquatting,wwworange.com,17550,homograph,typosquatting,combosquatting,subdomain,wrong_tld
be07c01a-ddd0-40ae-a147-e0e40fb895ab,orange.com,combosquatting,verify-orange-verify.com,34915,typosquatting,combosquatting,homograph,subdomain,wrong_tld
ef03e9ec-33a3-4733-b714-fee31a93756b,xfinity.com,subdomain_usage,validation.xfinity.com.test-domain.com,7712,combosquatting,typosquatting,wrong_tld,subdomain,homograph
f597edb9-0b34-492c-a0f9-9ce102808cad,orange.com,subdomain_usage,official.orange.com.test-domain.com,49557,combosquatting,wrong_tld,homograph,subdomain,typosquatting
bf3eebee-327b-4136-b3fb-0729a71e93aa,linkedin.com,wrong_tld,linkedin.de,10759,subdomain,typosquatting,wrong_tld,combosquatting,homograph
ef03e9ec-33a3-4733-b714-fee31a93756b,dhl.com,homograph,dhꓲ.com,14128,subdomain,homograph,wrong_tld,typosquatting,combosquatting
be07c01a-ddd0-40ae-a147-e0e40fb895ab,instagram.com,homograph,insṭagram.com,19157,homograph,subdomain,typosquatting,combosquatting,wrong_tld
ef03e9ec-33a3-4733-b714-fee31a93756b,yahoo.com,combosquatting,pyahoo.com,6200,combosquatting,typosquatting,subdomain,wrong_tld,homograph
ef03e9ec-33a3-4733-b714-fee31a93756b,microsoft.com,typosquatting,wwwmicrosoft.com,3152,wrong_tld,typosquatting,homograph,combosquatting,subdomain
bf3eebee-327b-4136-b3fb-0729a71e93aa,netflix.com,homograph,netfĺix.com,14957,typosquatting,combosquatting,subdomain,wrong_tld,homograph
f597edb9-0b34-492c-a0f9-9ce102808cad,amazon.com,combosquatting,official-amazon.com,30990,homograph,typosquatting,wrong_tld,combosquatting,subdomain
be07c01a-ddd0-40ae-a147-e0e40fb895ab,facebook.com,wrong_tld,facebook.de,15479,wrong_tld,typosquatting,combosquatting,homograph,subdomain
ef03e9ec-33a3-4733-b714-fee31a93756b,americanexpress.com,typosquatting,amerianexpress.com,4767,homograph,typosquatting,combosquatting,subdomain,wrong_tld
bf3eebee-327b-4136-b3fb-0729a71e93aa,netflix.com,typosquatting,netfilx.com,14120,wrong_tld,typosquatting,combosquatting,subdomain,homograph
ef03e9ec-33a3-4733-b714-fee31a93756b,microsoft.com,homograph,microśoft.com,6904,typosquatting,homograph,combosquatting,subdomain,wrong_tld
f597edb9-0b34-492c-a0f9-9ce102808cad,americanexpress.com,wrong_tld,americanexpress.net,19384,typosquatting,wrong_tld,subdomain,homograph,combosquatting
be07c01a-ddd0-40ae-a147-e0e40fb895ab,dropbox.com,subdomain_usage,login.dropbox.com.test-domain.com,20000,subdomain,homograph,typosquatting,combosquatting,wrong_tld
ef03e9ec-33a3-4733-b714-fee31a93756b,chase.com,subdomain_usage,chase.com.4cam2.test-domain.com,5063,typosquatting,wrong_tld,subdomain,combosquatting,homograph
bf3eebee-327b-4136-b3fb-0729a71e93aa,yahoo.com,subdomain_usage,official.yahoo.com.gvk25.test-domain.com,12850,typosquatting,homograph,combosquatting,subdomain,wrong_tld
f597edb9-0b34-492c-a0f9-9ce102808cad,orange.com,wrong_tld,orange.net,8224,typosquatting,combosquatting,wrong_tld,homograph,subdomain
be07c01a-ddd0-40ae-a147-e0e40fb895ab,netflix.com,wrong_tld,netflix.net,9654,wrong_tld,subdomain,typosquatting,homograph,combosquatting
bf3eebee-327b-4136-b3fb-0729a71e93aa,amazon.com,wrong_tld,amazon.net,8552,homograph,wrong_tld,typosquatting,subdomain,combosquatting
0537de69-16f9-4fc6-be8f-f34537a7f01f,orange.com,typosquatting,orangge.com,44973,subdomain,typosquatting,homograph,wrong_tld,combosquatting
f597edb9-0b34-492c-a0f9-9ce102808cad,amazon.com,subdomain_usage,service.amazon.com.test-domain.com,9660,typosquatting,wrong_tld,combosquatting,subdomain,homograph
bf3eebee-327b-4136-b3fb-0729a71e93aa,yahoo.com,typosquatting,yah9o.com,14629,subdomain,typosquatting,homograph,wrong_tld,combosquatting
be07c01a-ddd0-40ae-a147-e0e40fb895ab,yahoo.com,homograph,yaho௦.com,21875,subdomain,combosquatting,typosquatting,wrong_tld,homograph
f597edb9-0b34-492c-a0f9-9ce102808cad,linkedin.com,subdomain_usage,mobile.linkedin.com.test-domain.com,11039,typosquatting,combosquatting,homograph,subdomain,wrong_tld
bf3eebee-327b-4136-b3fb-0729a71e93aa,amazon.com,typosquatting,amazzon.com,8160,subdomain,combosquatting,typosquatting,wrong_tld,homograph
3e906259-bd1f-4ed5-b5ad-c11a81e9d5c3,netflix.com,subdomain_usage,netflix.com.authentication.test-domain.com,75191,typosquatting,combosquatting,homograph,subdomain,wrong_tld
bf3eebee-327b-4136-b3fb-0729a71e93aa,google.com,subdomain_usage,8apy9.google.com.4a23y.test-domain.com,8108,combosquatting,subdomain,typosquatting,homograph,wrong_tld
f597edb9-0b34-492c-a0f9-9ce102808cad,att.com,subdomain_usage,account.att.com.test-domain.com,6695,subdomain,wrong_tld,typosquatting,combosquatting,homograph
0537de69-16f9-4fc6-be8f-f34537a7f01f,bankofamerica.com,subdomain_usage,61iwa.bankofamerica.com.verify.test-domain.com,38130,combosquatting,subdomain,typosquatting,homograph,wrong_tld
be07c01a-ddd0-40ae-a147-e0e40fb895ab,wellsfargo.com,typosquatting,wellsfargoo.com,16100,combosquatting,typosquatting,homograph,wrong_tld,subdomain
bf3eebee-327b-4136-b3fb-0729a71e93aa,google.com,homograph,googlē.com,7631,wrong_tld,typosquatting,combosquatting,subdomain,homograph
be07c01a-ddd0-40ae-a147-e0e40fb895ab,microsoft.com,subdomain_usage,authentication.microsoft.com.test-domain.com,6254,wrong_tld,subdomain,typosquatting,combosquatting,homograph
