user_id,completion_code,os,browser,version,is_mobile,finished_step1,finished_step2,finished_step3,            finished_step4,finished_questionnaire,age,gender,education,origin,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,            f11,f12,f13,f14,f15,f16,sum,avg,attention_test1,attention_test2,phishing,techniques,future
2a738055-5c94-4ae7-8413-83350a91aac8,7a39cae8-eb52-47e9-8de5-598737be4ce0,Windows 7,Chrome,78.0.3904.97,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
da0e7c39-5288-4d6b-bae2-228da72f74bf,b42b6efd-774f-42de-87b4-53b8a3ff6dcf,Windows 10.0,Chrome,78.0.3904.97,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
26bcc80c-781d-4b8a-a076-7d0bc8c14a0e,e4393a0e-96e8-408f-a0b5-6e55a5d7ffaa,Windows 10.0,Chrome,78.0.3904.97,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ef03e9ec-33a3-4733-b714-fee31a93756b,dd2b51e6-baa4-40f2-9a65-90fb0d8d2ea5,Windows 10.0,Chrome,78.0.3904.97,0,1,1,1,1,1,36_45,male,over_master,north_america,1,1,0,0,0,2,2,0,1,1,2,2,2,0,2,0,16,1.0,never,often,no,no,yes
34f35de7-cd35-48c3-82ee-9c3608736a98,ca71661f-5226-42a6-966b-b56eb2d4c89b,Windows 8.1,Chrome,78.0.3904.97,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
be07c01a-ddd0-40ae-a147-e0e40fb895ab,183b2357-56d6-453b-9625-c2fb84b5256b,Windows 10.0,Chrome,78.0.3904.97,0,1,1,1,1,1,26_35,female,bachelor,north_america,2,3,1,4,4,4,0,1,2,3,3,2,3,0,4,0,36,2.25,never,always,yes,no,yes
0537de69-16f9-4fc6-be8f-f34537a7f01f,0b721054-04be-48d5-9aa3-4a64556cb46e,Windows 7,Chrome,75.0.3770.80,0,1,1,1,1,1,26_35,male,bachelor,asia,2,2,3,4,4,4,3,1,4,3,1,4,2,0,3,2,42,2.625,never,often,no,no,yes
f597edb9-0b34-492c-a0f9-9ce102808cad,572ef9a1-94f8-4b25-afb8-c05b5954ffde,Windows 10.0,Chrome,78.0.3904.70,0,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
bf3eebee-327b-4136-b3fb-0729a71e93aa,880f5e97-bef7-488e-936d-3d882c0ce1dc,Windows 10.0,Chrome,78.0.3904.97,0,1,1,1,1,1,26_35,female,bachelor,north_america,0,3,1,4,4,4,0,0,3,3,0,2,3,2,2,0,31,1.9375,never,rarely,yes,not_all,yes
3e906259-bd1f-4ed5-b5ad-c11a81e9d5c3,f7ed3f4b-fdf3-453c-9228-9cc22c12766a,Linux 64,Firefox,68.0,0,1,1,1,1,1,26_35,male,high_school,north_america,2,3,3,3,4,4,0,1,3,3,1,1,3,0,4,1,36,2.25,never,sometimes,no,yes,yes
0a3e8f10-e20c-4786-be95-4f73761c0d58,36eb9014-7a55-4c8f-be1c-d4508e243f3a,Windows 7,Chrome,78.0.3904.97,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2e0ae926-c285-4b86-ba96-bd047a52d41d,1e4dd5f7-63ea-4a4a-854b-b2a860169aa0,Windows 10.0,Chrome,78.0.3904.97,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
78b800ab-37b4-43d5-9b88-f984c92d06a3,d1b92c2b-9956-4483-8b5f-4d0006963219,Windows 10.0,Chrome,78.0.3904.97,0,1,1,1,1,1,26_35,male,bachelor,north_america,2,3,1,2,2,2,1,1,2,3,2,3,2,3,2,2,33,2.0625,never,rarely,not_known,not_all,not_known
bda40549-d39d-4a43-88a9-a06ba251d1d7,b358f559-4352-4c01-abeb-499d4b3e5690,Windows 10.0,Chrome,78.0.3904.97,0,1,1,1,1,1,36_45,female,high_school,north_america,3,3,2,4,4,4,2,0,3,4,2,2,3,2,2,0,40,2.5,never,always,no,no,no
cdc7a152-91cf-48d6-bd77-c3ada579ee18,e323ed06-d188-438e-bcbb-e6b237dc6b3f,macOS Mojave,Chrome,78.0.3904.97,0,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ff1048ec-3f11-44c1-a715-dc632b86aee7,4ad72359-709c-4b2f-81c3-7a84e5c929cd,Windows 10.0,Chrome,78.0.3904.97,0,1,1,1,1,1,36_45,female,no_degree,north_america,0,0,2,2,2,4,0,1,2,3,1,3,3,2,2,2,29,1.8125,never,never,no,not_all,yes
34b94fb6-0f40-4562-89e0-fd03b4c7507f,f54f5e7d-69d4-4814-9380-e5df9193de62,Windows 7,Chrome,78.0.3904.97,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
459282c6-4666-4097-841c-8aa65c762c66,b3248639-4bbd-4e83-82d1-1ed137ece4ea,Windows 10.0,Chrome,78.0.3904.97,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
53dc7601-4839-4708-8752-d0845829ddcc,9f74e475-3854-45f6-ba83-0479a11de9cc,macOS High Sierra,Chrome,78.0.3904.97,0,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
75a4ca19-07a5-4161-8ac4-ade4579049b2,ecee4a76-373b-4cc6-8796-3d1bab05e112,OS X,Chrome,78.0.3904.97,0,1,1,1,1,1,over_55,non_binary,high_school,north_america,4,3,1,1,2,4,1,0,3,3,4,2,3,0,4,3,38,2.375,never,always,no,not_all,yes
452faa56-ceea-47c9-a0e9-77d3f154aa87,b9ac4172-6373-44a5-84ec-4160a8d682db,Windows 10.0,Chrome,74.0.3729.169,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
30f8b39d-0439-4571-89b7-da317d433397,4aa0699f-6554-49b3-897c-0d93fa5fad14,Windows 7,Chrome,78.0.3904.97,0,1,1,1,1,1,26_35,male,bachelor,north_america,1,3,2,0,3,3,2,1,2,3,3,2,3,2,4,2,36,2.25,never,sometimes,no,yes,not_known
a5fe969e-f9e6-49f4-88a6-46ddddc8851b,320a01a9-fb40-4446-9bb2-f8e2c0b861de,Windows 10.0,Chrome,78.0.3904.97,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3fa26559-af09-49b1-b1a1-bf9da118c465,fba5939b-dd12-4f70-9bad-d9c4128d3ae2,Windows 10.0,Chrome,78.0.3904.97,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
55257d01-0c03-4798-b777-01508a2e1233,c23896aa-1684-4405-a86d-8b8d89e8c8b4,Windows 7,Chrome,78.0.3904.97,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
fa6056f2-0cbf-450b-8c56-54050d37b66c,3eb5cda9-e490-4db7-b613-a71104d20445,Windows 10.0,Chrome,78.0.3904.97,0,1,1,1,1,1,26_35,male,bachelor,north_america,3,3,2,1,2,3,3,0,3,2,1,3,2,2,2,1,33,2.0625,never,always,no,no,yes
dd88e540-9109-4458-ae73-adcc2801639d,ebc92353-b935-407b-89b3-cea5dc8f9c55,Linux,Chrome,78.0.3904.96,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7a034678-e309-4000-960d-b06e8077d84b,dfa3b8c6-100a-4c56-a432-8c8fd3a4616a,Windows 10.0,Chrome,78.0.3904.97,0,1,1,1,1,1,36_45,female,master,north_america,3,3,3,4,4,4,1,1,3,2,1,0,4,1,2,0,36,2.25,never,always,no,not_all,yes
